0,2025-11-13T14:45:07.9494074-03:00
1,2025-11-13T14:47:40.5242030-03:00
0,2025-11-13T14:49:26.3387803-03:00
0,2025-11-13T14:49:50.5895731-03:00
1,2025-11-13T14:56:53.3007067-03:00
0,2025-11-13T14:57:23.2084136-03:00
0,2025-11-13T14:57:47.8880996-03:00
1,2025-11-13T14:58:14.5529376-03:00
0,2025-11-13T15:07:24.9199664-03:00
0,2025-11-13T15:12:22.5433299-03:00
0,2025-11-13T15:13:31.8988591-03:00
0,2025-11-13T15:15:13.5585515-03:00
0,2025-11-13T15:16:51.8314203-03:00
0,2025-11-13T15:18:53.8782996-03:00
6,2025-11-13T15:24:40.8745827-03:00
4,2025-11-13T15:26:03.8452939-03:00
5,2025-11-13T16:52:30.8806868-03:00
9,2025-11-13T16:52:57.7143885-03:00
4,2025-11-13T16:53:17.1575052-03:00
1,2025-11-13T17:00:21.6367678-03:00
11,2025-11-13T17:01:02.1340649-03:00
4,2025-11-13T17:03:07.4762286-03:00
4,2025-11-13T17:03:45.0090292-03:00
13,2025-11-13T17:06:40.1574615-03:00
28,2025-11-13T17:31:41.4581038-03:00
7,2025-11-13T17:36:31.4612240-03:00
1,2025-11-13T17:58:19.1706561-03:00
